id,Product ID,Postal Code,Date,Sales,Units,State
47194,15,1605,1/1/13,736,69,Massachusetts
60060,30,2458,1/1/13,933,22,Massachusetts
33389,28,5609,1/1/13,953,7,Vermont
82411,10,6520,1/1/13,834,30,Connecticut
75709,20,7195,1/1/13,626,56,New Jersey
89234,26,8104,1/1/13,761,65,New Jersey
81413,20,10034,1/1/13,737,5,New York
84631,21,12205,1/1/13,674,56,New York
2535,42,12247,1/1/13,148,99,New York
79791,24,15134,1/1/13,223,35,Pennsylvania
14741,32,15255,1/1/13,241,43,Pennsylvania
53434,27,16550,1/1/13,884,1,Pennsylvania
80920,18,19605,1/1/13,488,48,Pennsylvania
57820,28,19897,1/1/13,165,96,Delaware
22852,21,22301,1/1/13,854,87,Virginia
84853,21,23289,1/1/13,996,77,Virginia
51500,31,23459,1/1/13,141,39,Virginia
96639,25,25705,1/1/13,428,4,West Virginia
73833,30,25726,1/1/13,230,49,West Virginia
29220,19,27610,1/1/13,950,30,North Carolina
87886,27,28284,1/1/13,762,42,North Carolina
88957,30,29220,1/1/13,862,24,South Carolina
98655,20,29610,1/1/13,924,16,South Carolina
682,24,30130,1/1/13,795,62,Georgia
45000,20,30380,1/1/13,819,7,Georgia
30626,25,31416,1/1/13,936,59,Georgia
2297,28,31904,1/1/13,889,21,Georgia
73176,13,32309,1/1/13,576,62,Florida
47436,31,32309,1/1/13,937,50,Florida
7179,23,33069,1/1/13,339,12,Florida
95914,29,33315,1/1/13,419,90,Florida
13396,14,33615,1/1/13,474,57,Florida
46385,20,33705,1/1/13,774,90,Florida
53004,30,33777,1/1/13,411,60,Florida
60683,29,33906,1/1/13,574,6,Florida
95755,38,33915,1/1/13,743,68,Florida
51961,30,33954,1/1/13,861,8,Florida
63236,19,35205,1/1/13,737,29,Alabama
31985,26,35220,1/1/13,216,13,Alabama
14568,17,35225,1/1/13,552,47,Alabama
57560,19,36177,1/1/13,805,100,Alabama
87740,24,38114,1/1/13,261,99,Tennessee
13419,27,38131,1/1/13,374,40,Tennessee
6434,22,38188,1/1/13,694,32,Tennessee
9021,24,38197,1/1/13,676,10,Tennessee
17563,21,40220,1/1/13,288,23,Kentucky
36076,29,44185,1/1/13,498,23,Ohio
35713,25,46254,1/1/13,340,1,Indiana
76879,8,47719,1/1/13,731,95,Indiana
58712,19,48555,1/1/13,153,93,Michigan
23383,21,48919,1/1/13,473,87,Michigan
58390,26,48919,1/1/13,394,51,Michigan
4920,42,49018,1/1/13,434,85,Michigan
4644,32,50315,1/1/13,521,90,Iowa
66039,21,50335,1/1/13,302,47,Iowa
69043,29,53285,1/1/13,729,62,Wisconsin
42793,26,54313,1/1/13,383,17,Wisconsin
94759,31,55103,1/1/13,885,81,Minnesota
63224,22,55188,1/1/13,296,82,Minnesota
77170,22,55480,1/1/13,432,67,Minnesota
34774,30,60636,1/1/13,699,43,Illinois
37593,19,65810,1/1/13,296,27,Missouri
30360,26,66611,1/1/13,701,24,Kansas
82786,17,66629,1/1/13,644,24,Kansas
9194,31,68164,1/1/13,913,99,Nebraska
17843,29,72905,1/1/13,121,55,Arkansas
64635,25,73034,1/1/13,666,16,Oklahoma
98965,31,73104,1/1/13,771,93,Oklahoma
18296,26,75265,1/1/13,432,89,Texas
45285,12,76011,1/1/13,598,45,Texas
5356,23,77005,1/1/13,400,22,Texas
48099,30,77025,1/1/13,378,23,Texas
10574,24,77070,1/1/13,326,68,Texas
93729,39,77266,1/1/13,247,53,Texas
77209,28,78682,1/1/13,457,19,Texas
30491,31,80217,1/1/13,247,74,Colorado
22880,20,80262,1/1/13,545,96,Colorado
61328,19,80270,1/1/13,370,98,Colorado
50046,24,80930,1/1/13,333,33,Colorado
46324,32,81505,1/1/13,191,40,Colorado
43926,28,83705,1/1/13,499,17,Idaho
91472,21,83732,1/1/13,218,69,Idaho
15773,26,84135,1/1/13,212,20,Utah
93946,20,87190,1/1/13,406,8,New Mexico
36866,18,88558,1/1/13,971,28,Texas
95651,30,89550,1/1/13,820,26,Nevada
54149,29,90410,1/1/13,223,67,California
70432,17,90510,1/1/13,464,32,California
3821,42,92145,1/1/13,869,78,California
35491,30,92705,1/1/13,939,98,California
20706,28,93005,1/1/13,702,38,California
20557,16,93726,1/1/13,521,58,California
98526,25,93778,1/1/13,923,57,California
3104,7,93794,1/1/13,807,51,California
88767,25,94237,1/1/13,141,49,California
68654,26,95064,1/1/13,434,81,California
66214,28,95194,1/1/13,414,74,California
48377,29,95354,1/1/13,836,22,California
57263,10,96154,1/1/13,143,32,California
89648,14,97221,1/1/13,437,6,Oregon
1262,22,98140,1/1/13,199,5,Washington
82653,29,98140,1/1/13,900,35,Washington
85531,30,98148,1/1/13,302,70,Washington
92683,31,99522,1/1/13,776,11,Alaska
89972,41,1105,1/2/13,318,82,Massachusetts
96400,31,2745,1/2/13,752,63,Massachusetts
89250,37,6120,1/2/13,171,18,Connecticut
77264,13,6140,1/2/13,462,40,Connecticut
58821,34,10131,1/2/13,102,38,New York
35616,8,10275,1/2/13,695,49,New York
78580,12,11225,1/2/13,836,61,New York
70603,31,12222,1/2/13,384,91,New York
18879,15,13505,1/2/13,727,86,New York
