Keyword,Mentions,Mention Date,Zipcode,State,IP Address,,,
homemade,115,1/8/13,78769,Texas,205.216.15.247,,,
appreciates,157,1/9/13,92862,California,174.0.15.118,,,
challenge,226,1/9/13,94137,California,249.123.76.178,,,
situation,212,1/9/13,20575,District of Columbia,145.132.237.158,,,
worried,189,1/9/13,32204,Florida,98.150.235.251,,,
conservative,103,1/10/13,23705,Virginia,23.178.93.234,,,
trinket,145,1/10/13,87180,New Mexico,209.138.254.84,,,
youre,133,1/10/13,20599,District of Columbia,28.108.36.82,,,
cookie,52,1/11/13,75236,Texas,103.198.124.131,,,
face,226,1/11/13,7305,New Jersey,18.226.92.243,,,
subscribe,212,1/11/13,38104,Tennessee,115.168.210.143,,,
largest,204,1/12/13,64130,Missouri,8.43.161.115,,,
tutorial,119,1/12/13,81505,Colorado,133.1.5.174,,,
cake,166,1/13/13,32209,Florida,141.209.239.66,,,
great,139,1/13/13,70174,Louisiana,222.113.82.85,,,
makey,131,1/13/13,33961,Florida,202.74.172.57,,,
studios,182,1/13/13,77055,Texas,233.54.1.205,,,
click,34,1/14/13,78475,Texas,50.90.59.206,,,
letter,146,1/14/13,25362,West Virginia,61.253.229.75,,,
santa,98,1/14/13,76905,Texas,211.221.238.82,,,
funny,138,1/15/13,20535,District of Columbia,152.35.144.26,,,
game,158,1/15/13,34479,Florida,58.0.44.132,,,
healthy,146,1/15/13,64130,Missouri,47.7.62.89,,,
humorous,86,1/15/13,91131,California,56.1.69.217,,,
idea,196,1/15/13,6705,Connecticut,149.244.64.177,,,
largest,77,1/15/13,12227,New York,55.50.89.147,,,
marie,122,1/15/13,97286,Oregon,114.216.166.52,,,
paper,170,1/15/13,55407,Minnesota,109.237.48.205,,,
unwrap,208,1/15/13,62764,Illinois,96.126.230.85,,,
video,204,1/15/13,99205,Washington,27.218.255.167,,,
write,79,1/15/13,80235,Colorado,205.85.80.116,,,
hold,42,1/16/13,95150,California,191.212.167.35,,,
basically,151,1/17/13,89160,Nevada,55.53.114.88,,,
hold,160,1/17/13,90015,California,187.140.174.239,,,
mommy,139,1/17/13,30351,Georgia,71.224.29.234,,,
face,200,1/18/13,55487,Minnesota,85.122.150.83,,,
friends,76,1/18/13,33633,Florida,235.103.255.255,,,
saved,58,1/18/13,28256,North Carolina,27.38.212.223,,,
soda,29,1/18/13,33018,Florida,2.91.229.210,,,
favorite,189,1/19/13,8650,New Jersey,224.200.180.213,,,
snores,58,1/19/13,31405,Georgia,45.208.161.18,,,
enjoy,130,1/20/13,92013,California,229.1.160.116,,,
idea,36,1/20/13,46896,Indiana,3.232.146.242,,,
relaxing,74,1/20/13,70820,Louisiana,191.95.238.133,,,
white,75,1/20/13,75074,Texas,136.181.129.221,,,
dont,90,1/21/13,35231,Alabama,15.49.124.250,,,
face,190,1/21/13,60657,Illinois,10.56.201.137,,,
feeling,56,1/21/13,66112,Kansas,117.248.78.39,,,
anniversary,83,1/22/13,6854,Connecticut,16.6.32.239,,,
daniel,237,1/22/13,22184,Virginia,81.187.42.195,,,
great,191,1/22/13,93094,California,213.87.38.135,,,
happy,154,1/22/13,32813,Florida,137.125.161.200,,,
life,110,1/22/13,77806,Texas,173.8.103.20,,,
project,243,1/22/13,20016,District of Columbia,61.157.171.81,,,
shes,157,1/22/13,35815,Alabama,102.18.205.233,,,
favors,202,1/23/13,80235,Colorado,12.228.34.136,,,
future,171,1/23/13,10110,New York,22.51.247.116,,,
love,101,1/23/13,6127,Connecticut,52.115.210.40,,,
read,58,1/23/13,20005,District of Columbia,138.59.33.214,,,
watch,81,1/23/13,22096,Virginia,23.180.96.97,,,
largest,128,1/24/13,55127,Minnesota,159.255.117.45,,,
sweet,96,1/24/13,11220,New York,83.219.157.160,,,
balloons,247,1/25/13,33499,Florida,159.136.65.42,,,
closed,57,1/25/13,90847,California,154.58.224.30,,,
laugh,33,1/25/13,15134,Pennsylvania,211.123.191.188,,,
making,130,1/25/13,77206,Texas,111.35.146.255,,,
