_id,dob,gender,language,registration_date,primary_use,registration_referring_url,flag_optin_email_marketing,country_code,country_name
1717,12/11/1956,F,Spanish        ,3/8/2013,business       ,support.retail.com                               ,1,MX,Mexico                                       
10567,5/30/1953,M,French         ,3/5/2013,business       ,support.retail.com                               ,1,TZ,"Tanzania, United Republic of                 "
11661,7/7/1951,M,French         ,3/7/2013,personel       ,www.retail.com                                   ,0,AW,Aruba                                        
15384,10/25/1956,M,English        ,3/5/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
22596,10/2/1957,M,English        ,3/7/2013,personel       ,support.retail.com                               ,0,BD,Bangladesh                                   
23893,1/25/1953,F,English        ,3/10/2013,business       ,support.retail.com                               ,1,NA,Namibia                                      
25628,5/8/1951,F,English        ,3/7/2013,business       ,partner.retail.com                                  ,1,EE,Estonia                                      
34432,6/25/1953,F,Spanish        ,3/9/2013,business       ,www.retail.com                                   ,1,AW,Aruba                                        
36046,2/24/1960,F,English        ,3/5/2013,business       ,www.retail.com                                   ,1,LC,Saint Lucia                                  
37638,12/13/1960,F,English        ,3/8/2013,personel       ,support.retail.com                               ,0,DO,Dominican Republic                           
44644,1/13/1951,F,Spanish        ,3/5/2013,personel       ,www.retail.com                                   ,0,IQ,Iraq                                         
46547,12/15/1958,F,French         ,3/7/2013,business       ,support.retail.com                               ,1,RO,Romania                                      
50979,9/28/1960,F,French         ,3/5/2013,personel       ,wiki.retail.com                                  ,0,KI,Kiribati                                     
53262,4/28/1954,F,English        ,3/10/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
54561,6/17/1950,F,English        ,3/7/2013,business       ,www.retail.com                                   ,1,PK,Pakistan                                     
70488,3/19/1959,F,Spanish        ,3/5/2013,business       ,www.retail.com                                   ,1,ET,Ethiopia                                     
71313,4/16/1951,M,English        ,3/11/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
74606,3/31/1954,M,English        ,3/6/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
75011,6/3/1958,M,French         ,3/7/2013,business       ,info.retail.com                            ,1,PK,Pakistan                                     
76796,2/12/1951,F,French         ,3/6/2013,personel       ,info.retail.com                            ,0,DZ,Algeria                                      
79891,7/6/1960,F,English        ,3/11/2013,business       ,wiki.retail.com                                  ,1,NL,Netherlands                                  
80378,2/19/1957,F,French         ,3/5/2013,personel       ,wiki.retail.com                                  ,0,CR,Costa Rica                                   
80866,10/22/1956,F,English        ,3/11/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
82339,5/24/1958,F,Spanish        ,3/9/2013,business       ,www.retail.com                                   ,1,BR,Brazil                                       
82574,10/9/1955,F,English        ,3/9/2013,personel       ,support.retail.com                               ,0,DO,Dominican Republic                           
86853,1/13/1951,F,Spanish        ,3/10/2013,business       ,partner.retail.com                                  ,1,UG,Uganda                                       
94253,4/22/1950,F,English        ,3/8/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
101517,3/16/1955,F,English        ,3/5/2013,personel       ,wiki.retail.com                                  ,0,ES,Spain                                        
103218,3/21/1957,F,English        ,3/8/2013,personel       ,wiki.retail.com                                  ,0,HR,Croatia                                      
108324,10/12/1957,F,Spanish        ,3/11/2013,business       ,partner.retail.com                                  ,1,NA,Namibia                                      
112938,3/12/1952,M,French         ,3/7/2013,business       ,wiki.retail.com                                  ,1,MA,Morocco                                      
120668,2/7/1960,F,English        ,3/11/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
122757,4/20/1954,M,English        ,3/9/2013,business       ,www.retail.com                                   ,1,PL,Poland                                       
130792,10/11/1959,F,English        ,3/5/2013,business       ,support.retail.com                               ,1,HR,Croatia                                      
131955,10/13/1957,M,French         ,3/10/2013,business       ,www.retail.com                                   ,1,ZW,Zimbabwe                                     
137435,1/24/1958,F,French         ,3/6/2013,business       ,support.retail.com                               ,1,KH,Cambodia                                     
139643,6/23/1957,F,Spanish        ,3/8/2013,personel       ,wiki.retail.com                                  ,0,LT,Lithuania                                    
142721,3/26/1959,F,English        ,3/9/2013,personel       ,partner.retail.com                                  ,0,NA,Namibia                                      
151054,8/12/1959,F,Spanish        ,3/11/2013,personel       ,support.retail.com                               ,0,AT,Austria                                      
153355,10/22/1956,F,Spanish        ,3/6/2013,business       ,support.retail.com                               ,1,IO,British Indian Ocean Territory               
155815,4/19/1960,F,Spanish        ,3/7/2013,personel       ,wiki.retail.com                                  ,0,AX,?land Islands                                
163496,3/20/1950,M,English        ,3/8/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
163832,8/21/1960,F,English        ,3/9/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
165271,11/11/1959,M,English        ,3/5/2013,personel       ,info.retail.com                            ,0,IS,Iceland                                      
166191,3/2/1953,F,Spanish        ,3/10/2013,personel       ,partner.retail.com                                  ,0,SB,Solomon Islands                              
169882,5/1/1956,F,Spanish        ,3/10/2013,personel       ,wiki.retail.com                                  ,0,ZM,Zambia                                       
171128,5/24/1954,F,English        ,3/5/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
