Serial Number,Name,Drive Type,Capacity - GB,Raid Level,Drive Locations,Array Group type,Arrray Group Count of Drive Type
442901,1-1,FMD/SSD,"14,074",RAID 1(2D+2D),,SAS 10K,39
442901,1-2,FMD/SSD,"14,074",RAID 1(2D+2D),,SAS 7.2K,5
442901,1-3,SAS 10K,"2,306",RAID 1(2D+2D),,FMD/SSD,2
442901,1-4,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-5,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-6,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-7,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-8,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-9,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-10,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-11,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-12,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-13,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-14,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-15,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-16,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-17,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-18,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-19,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-20,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-21,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-22,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-23,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-24,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-25,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-26,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-27,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-28,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-29,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-30,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-31,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,1-32,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-1,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-2,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-3,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-4,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-5,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-6,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-7,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-8,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-9,SAS 10K,"2,306",RAID 1(2D+2D),,,
442901,2-10,SAS 7.2K,"35,244",RAID 6(6D+2P),,,
442901,2-11,SAS 7.2K,"35,244",RAID 6(6D+2P),,,
442901,2-12,SAS 7.2K,"35,244",RAID 6(6D+2P),,,
442901,2-13,SAS 7.2K,"35,244",RAID 6(6D+2P),,,
442901,2-14,SAS 7.2K,"35,244",RAID 6(6D+2P),,,
