Serial Number,LDEV,Array Group,Size,DP Pool,Pool Name,Encrypted,LDEV Array Group Type,LDEV Array Group Count
442901,00:00:00,1-1,2.56 TB,0,,TRUE,1-1,5
442901,00:00:01,1-1,2.56 TB,0,,TRUE,1-10,1
442901,00:00:02,1-1,2.56 TB,0,,TRUE,1-11,1
442901,00:00:03,1-1,2.56 TB,0,,TRUE,1-12,1
442901,00:00:04,1-1,2.56 TB,0,,TRUE,1-13,1
442901,00:00:05,1-2,2.56 TB,0,,TRUE,1-14,1
442901,00:00:06,1-2,2.56 TB,0,,TRUE,1-15,1
442901,00:00:07,1-2,2.56 TB,0,,TRUE,1-16,1
442901,00:00:08,1-2,2.56 TB,0,,TRUE,1-17,1
442901,00:00:09,1-2,2.56 TB,0,,TRUE,1-18,1
442901,00:00:0a,1-3,2.10 TB,0,,TRUE,1-19,1
442901,00:00:0b,1-4,2.10 TB,0,,TRUE,1-2,5
442901,00:00:0c,1-5,2.10 TB,0,,TRUE,1-20,1
442901,00:00:0d,1-6,2.10 TB,0,,TRUE,1-21,1
442901,00:00:0e,1-7,2.10 TB,0,,TRUE,1-22,1
442901,00:00:0f,1-8,2.10 TB,0,,TRUE,1-23,1
442901,00:00:10,1-9,2.10 TB,0,,TRUE,1-24,1
442901,00:00:11,1-10,2.10 TB,0,,TRUE,1-25,1
442901,00:00:12,1-11,2.10 TB,0,,TRUE,1-26,1
442901,00:00:13,1-12,2.10 TB,0,,TRUE,1-27,1
442901,00:00:14,1-13,2.10 TB,0,,TRUE,1-28,1
442901,00:00:15,1-14,2.10 TB,0,,TRUE,1-29,1
442901,00:00:16,1-15,2.10 TB,0,,TRUE,1-3,1
442901,00:00:17,1-16,2.10 TB,0,,TRUE,1-30,1
442901,00:00:18,1-17,2.10 TB,0,,TRUE,1-31,1
442901,00:00:19,1-18,2.10 TB,0,,TRUE,1-32,1
442901,00:00:1a,1-19,2.10 TB,0,,TRUE,1-4,1
442901,00:00:1b,1-20,2.10 TB,0,,TRUE,1-5,1
442901,00:00:1c,1-21,2.10 TB,0,,TRUE,1-6,1
442901,00:00:1d,1-22,2.10 TB,0,,TRUE,1-7,1
442901,00:00:1e,1-23,2.10 TB,0,,TRUE,1-8,1
442901,00:00:1f,1-24,2.10 TB,0,,TRUE,1-9,1
442901,00:00:20,1-25,2.10 TB,0,,TRUE,2-1,1
442901,00:00:21,1-26,2.10 TB,0,,TRUE,2-10,11
