storageDeviceId	dkcMicroVersion	clprs	clprId	clprName	cacheMemoryCapacity	numberOfResidentExtents	model	serialNumber	svpIp	portId_portType_lunSecurity
8.00E+11	80-05-23/01                                                                          	/clprs                                                                               	0	CLPR0                                                                                	88320	16384	VSP G1500                                                                            	58990	192.168.166.6	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01                                                                          	/clprs                                                                               	0	CLPR0                                                                                	88320	16384	VSP G1500                                                                            	59012	192.168.166.7	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59034	192.168.166.8	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59056	192.168.166.9	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59078	192.168.166.10	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59100	192.168.166.11	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59122	192.168.166.12	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59144	192.168.166.13	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59166	192.168.166.14	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59188	192.168.166.15	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59210	192.168.166.16	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59232	192.168.166.17	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59254	192.168.166.18	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59276	192.168.166.19	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59298	192.168.166.20	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59320	192.168.166.21	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59342	192.168.166.22	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	8384	VSP G1500	59364	192.168.166.23	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59386	192.168.166.24	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59408	192.168.166.25	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59430	192.168.166.26	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59452	192.168.166.27	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59474	192.168.166.28	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59496	192.168.166.29	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59518	192.168.166.30	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59540	192.168.166.31	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59562	192.168.166.32	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
