zip_code;week_ending_date;total_properties_this_week;total_properties_last_week;total_properties_week_change;pct_state_traffic_week_avg;pct_national_traffic_week_avg
01001;2015/09/05 00:00:00.000;39;26;13;0.3058429297;0.0086854103
01001;2015/07/04 00:00:00.000;46;44;2;0.2321072969;0.0068877477
01002;2015/09/05 00:00:00.000;288;134;154;0.3390867264;0.0096294766
01002;2015/07/04 00:00:00.000;212;210;2;0.3296978649;0.0097837325
01005;2015/07/04 00:00:00.000;19;19;0;0.0646207815;0.0019176116
01005;2015/09/05 00:00:00.000;27;15;12;0.090423127;0.0025678604
01007;2015/07/04 00:00:00.000;63;61;2;0.4272884329;0.0126797174
01007;2015/09/05 00:00:00.000;67;39;28;0.1741974947;0.0049469076
01008;2015/07/04 00:00:00.000;6;7;-1;0.0237382463;0.0007044287
01008;2015/09/05 00:00:00.000;10;3;7;0.0252652855;0.0007174904
01010;2015/07/04 00:00:00.000;17;18;-1;0.0527516584;0.0015653972
01010;2015/09/05 00:00:00.000;21;13;8;0.0638280897;0.0018126074
01011;2015/09/05 00:00:00.000;9;7;2;0.0186165262;0.0005286771
01011;2015/07/04 00:00:00.000;7;8;-1;0.0435201182;0.0012914527
01012;2015/07/04 00:00:00.000;4;4;0;0.017144289;0.0005087541
01012;2015/09/05 00:00:00.000;3;2;1;0.019946278;0.0005664398
01013;2015/07/04 00:00:00.000;34;29;5;0.2215569652;0.0065746683
01013;2015/09/05 00:00:00.000;26;17;9;0.131645435;0.0037385027
01020;2015/09/05 00:00:00.000;55;43;12;0.2566421106;0.0072881921
01020;2015/07/04 00:00:00.000;69;64;5;0.3151911588;0.0093532483
01022;2015/07/04 00:00:00.000;19;19;0;0.0553892413;0.0016436671
01022;2015/09/05 00:00:00.000;17;13;4;0.0279247892;0.0007930157
01026;2015/07/04 00:00:00.000;4;4;0;0.0303322036;0.0009001034
01026;2015/09/05 00:00:00.000;7;3;4;0.0079785112;0.0002265759
01027;2015/07/04 00:00:00.000;72;58;14;0.2030938848;0.0060267793
01027;2015/09/05 00:00:00.000;76;40;36;0.1994627802;0.005664398
01028;2015/07/04 00:00:00.000;57;58;-1;0.2096878421;0.0062224539
01030;2015/09/05 00:00:00.000;23;15;8;0.090423127;0.0025678604
01030;2015/07/04 00:00:00.000;17;17;0;0.1160536484;0.0034438739
01031;2015/07/04 00:00:00.000;1;1;0;0.0013187915;0.0000391349
01031;2015/09/05 00:00:00.000;1;1;0;0.0012875315;0.000036346
01032;2015/09/05 00:00:00.000;2;2;0;0.0172867743;0.0004909145
01033;2015/07/04 00:00:00.000;27;25;2;0.097590568;0.0028959848
01033;2015/09/05 00:00:00.000;27;18;9;0.0877636233;0.0024923351
01034;2015/09/05 00:00:00.000;42;22;20;0.0678173453;0.0019258953
01034;2015/07/04 00:00:00.000;36;32;4;0.0290134121;0.0008609685
01036;2015/09/05 00:00:00.000;18;15;3;0.0558495785;0.0015860314
01036;2015/07/04 00:00:00.000;18;15;3;0.0369261609;0.001095778
01037;2015/07/04 00:00:00.000;1;1;0;0.0052751658;0.0001565397
01038;2015/07/04 00:00:00.000;10;7;3;0.0092315402;0.0002739445
01039;2015/07/04 00:00:00.000;5;5;0;0.0026375829;0.0000782699
01039;2015/09/05 00:00:00.000;1;1;0;0.0039892556;0.000113288
01040;2015/07/04 00:00:00.000;45;44;1;0.3455233624;0.0102533517
01040;2015/09/05 00:00:00.000;57;32;25;0.3284487115;0.0093273754
01050;2015/09/05 00:00:00.000;18;9;9;0.0385628042;0.0010951169
01050;2015/07/04 00:00:00.000;11;11;0;0.0844026534;0.0025046355
01053;2015/07/04 00:00:00.000;5;8;-3;0.0065939573;0.0001956747
01053;2015/09/05 00:00:00.000;3;2;1;0.0079785112;0.0002265759
01054;2015/07/04 00:00:00.000;10;12;-2;0.0435201182;0.0012914527
01056;2015/09/05 00:00:00.000;46;28;18;0.1941437728;0.0055133474
01056;2015/07/04 00:00:00.000;44;47;-3;0.195181136;0.0057919697
01057;2015/09/05 00:00:00.000;27;18;9;0.0864338714;0.0024545725
01057;2015/07/04 00:00:00.000;38;36;2;0.1503422264;0.004461382
01060;2015/09/05 00:00:00.000;58;38;20;0.464083402;0.013179166
01062;2015/09/05 00:00:00.000;37;23;14;0.1555809686;0.0044182304
01062;2015/07/04 00:00:00.000;40;34;6;0.2083690506;0.006183319
01068;2015/07/04 00:00:00.000;5;8;-3;0.0197818719;0.000587024
01069;2015/07/04 00:00:00.000;32;33;-1;0.0962717765;0.0028568499
