CUSTOMERNAME,SALES,PHONE,CITY,STATE,COUNTRY,POSTALCODE
Land of Toys Inc.                  ,2871,2125557818       ,NYC            ,NY             ,United States  ,10022       
Reims Collectables                 ,2765.9,26.47.1555       ,Reims          ,               ,France         ,51100       
Lyon Souveniers                    ,3884.3,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Toys4GrownUps.com                  ,3746.7,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Corporate Gift Ideas Co.           ,5205.3,6505551386       ,San Francisco  ,CA             ,United States  ,            
Technics Stores Inc.               ,3479.8,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
Daedalus Designs Imports           ,2497.8,20.16.1555       ,Lille          ,               ,France         ,59000       
Herkku Gifts                       ,5512.3,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
Mini Wheels Co.                    ,2168.5,6505555787       ,San Francisco  ,CA             ,United States  ,            
Auto Canal+ Petit                  ,4708.4,(1) 47.55.6555   ,Paris          ,               ,France         ,75016       
"Australian Collectors, Co.         ",3965.7,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Vitachrome Inc.                    ,2333.1,2125551500       ,NYC            ,NY             ,USA            ,10022       
Tekni Collectables Inc.            ,3188.6,2015559350       ,Newark         ,NJ             ,USA            ,94019       
Gift Depot Inc.                    ,3676.8,2035552570       ,Bridgewater    ,CT             ,United States  ,97562       
La Rochelle Gifts                  ,4177.4,40.67.8555       ,Nantes         ,               ,France         ,44000       
Marta's Replicas Co.               ,4099.7,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
"Toys of Finland, Co.               ",2597.4,90-224 8555      ,Helsinki       ,               ,Finland        ,21240       
Baane Mini Imports                 ,4394.4,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
Diecast Classics Inc.              ,4358,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Land of Toys Inc.                  ,4396.1,2125557818       ,NYC            ,NY             ,United States  ,10022       
Salzburg Collectables              ,7737.9,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
Souveniers And Things Co.          ,1451,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
La Rochelle Gifts                  ,733.1,40.67.8555       ,Nantes         ,               ,France         ,44000       
FunGiftIdeas.com                   ,3207.1,5085552555       ,New Bedford    ,MA             ,USA            ,50553       
"UK Collectables, Ltd.              ",2434.6,(171) 555-2282   ,Liverpool      ,               ,UK             ,WX1 6LT     
Euro+ Shopping Channel             ,7516.1,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Baane Mini Imports                 ,5404.6,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
"Volvo Model Replicas, Co           ",7209.1,0921-12 3555     ,Lule†          ,               ,Sweden         ,S-958 22    
"Corrida Auto Replicas, Ltd         ",7329.1,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
Technics Stores Inc.               ,7374.1,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
"Dragon Souveniers, Ltd.            ",10993.5,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Classic Legends Inc.               ,4860.2,2125558493       ,NYC            ,NY             ,United States  ,10022       
"Australian Gift Network, Co        ",8014.8,61-7-3844-6555   ,South Brisbane ,Queensland     ,Australia      ,4101        
"Classic Gift Ideas, Inc            ",5372.6,2155554695       ,Philadelphia   ,PA             ,USA            ,71270       
"Saveley & Henriot, Co.             ",7290.4,78.32.5555       ,Lyon           ,               ,France         ,69004       
Canadian Gift Exchange Network     ,9064.9,(604) 555-3392   ,Vancouver      ,BC             ,Canada         ,V3F 2K1     
West Coast Collectables Co.        ,6075.3,3105553722       ,Burbank        ,CA             ,United States  ,94019       
Cambridge Collectables Co.         ,6463.2,6175555555       ,Cambridge      ,MA             ,USA            ,51247       
Super Scale Inc.                   ,6120.3,2035559545       ,New Haven      ,CT             ,United States  ,97823       
"Tokyo Collectables, Ltd            ",7680.6,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
Souveniers And Things Co.          ,4905.4,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
Amica Models & Co.                 ,8014.8,011-4988555      ,Torino         ,               ,Italy          ,10100       
Scandinavian Gift Ideas            ,7136.2,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Auto Associ‚s & Cie.               ,10172.7,30.59.8555       ,Versailles     ,               ,France         ,78000       
Mini Gifts Distributors Ltd.       ,11623.7,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Online Diecast Creations Co.       ,6000.4,6035558647       ,Nashua         ,NH             ,USA            ,62005       
Mini Wheels Co.                    ,3003,6505555787       ,San Francisco  ,CA             ,United States  ,            
"Australian Collectors, Co.         ",3944.7,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
