SiteCode,Postcode
HV1,RM13 9PH
BX1,DA8 2EE
BX9,DA8 2EE
HV3,RM7 9BH
BG1,RM7 0RJ
BX0,DA17 6DQ
BX2,DA17 6DQ
BQ7,DA18 4HQ
BQ8,DA18 4HQ
BG2,IG11 0UA
GN3,SE18 1HE
GB0,DA15
GB6,DA15
RB7,IG2
GN0,SE18 7BZ
GR4,SE9 2RA
GN4,SE9 3SA
GR9,SE9 6AJ
RB4,E11 2HP
GR8,SE10 0RN
TH4,E14 0NF
GR7,SE10 8SX
LW4,SE13 7SN
LW1,SE6
EN7,EN3 6HJ
LW2,SE14
TH2,E1
EN4,N18 2PA
SK5,SE15 1NJ
EN1,EN1 1DJ
HG1,N17 8AA
CT3,EC3A 5DH
HK6,EC1V 9EY
CT8,EC4R 9AN
CT6,EC4R
CT4,EC2Y
CR9,CR0
SK6,SE1
CT2,EC4M 7LD
IS6,N5 1LU
LB4,SW9 7DE
IS2,N7 6PA
NB1,WC2R 1ES
CR7,CR0 4RJ
CR5,SW16 4BU
LB5,SW8 2RN
EN5,N11 2SL
HG4,N8 8QR
BL0,WC1B 5BE
CR8,SW16 5RB
CD9,WC1H 9PJ
LB6,SW16 6AQ
WM0,SW1P 2ED
ST8,CR0 4TD
ST5,CR0 4TF
WAA,SW8 4DU
WM9,SW1W 0QP
ST4,SM6 0LY
WM6,W1C 2PL
MY1,NW1 5LS
MY7,NW1 5LS
KC3,SW3
WAB,SW17
WAC,SW11
KC4,SW3
CD1,NW3
KC2,SW7 5JP
KC5,SW5
WA2,SW18 4JE
ME2,SW19 1EQ
ME9,SM4 5BL
KC7,W10
KC1,W10
WA9,SW15
WA7,SW15
WA8,SW15
HF4,W12 8TX
RI2,SW13 9SA
RI1,SW13
ST6,KT4 8EB
BT6,NW10 4DS
BT5,NW10 2UJ
BT4,NW10 0PH
EI1,W3
EA8,W3 0BU
EI8,W3 0BU
KT4,KT6 7HT
EA6,W5 1EF
HR1,HA7 4RG
RHG,TW2
TD5,TW11 0NW
HR2,HA2 6EH
HI0,UB7 9DN
