Dummy;Class;Component #;Support;CPM;Measure;Prior_Measure;Measure_Direction;Measure_Desc;RPM;Prior_Measure_predicted;Maintenance_Required?;Maintenance_Item;Metric_desc;Count
1;1;8;2;6000;8;0.4;io;F_Vx;1000;0.23421;No;N/A;N/A;1
1;1;9;2;6000;5.5;0.3;ia;F_Vz;1000;0.24639;No;N/A;N/A;1
1;1;10;2;18000;2.75;0.6;ia;F_Vz;1000;0.15011;No;N/A;N/A;1
1;1;11;2;20000;6.5;0;io;F_Vx;1000;0.08495;No;N/A;N/A;1
1;1;12;2;22000;2.75;0;ia;F_Vz;1000;0.10671;No;N/A;N/A;1
1;1;13;2;23000;3.75;0;io;F_Vx;1000;0.07486;No;N/A;N/A;1
1;1;14;2;2000;1.4;0;ia;F_Vz;1000;0.20499;No;N/A;N/A;1
1;1;15;3;4000;18;0;io;F_Vx;1000;0.53414;No;N/A;N/A;1
1;1;16;3;4000;1.9;0;ia;F_Vz;1000;0.12874;No;N/A;N/A;1
1;1;17;3;3000;7;0;io;F_Vx;1000;0.15989;No;N/A;N/A;1
1;1;18;3;24000;1.25;0;ia;F_Vz;1000;0.07639;No;N/A;N/A;1
1;1;19;3;20000;4;0;ia;F_Vz;1000;0.07639;No;N/A;N/A;1
1;1;20;3;18000;3.5;0;io;F_Vx;1000;0.08935;No;N/A;N/A;1
1;1;21;3;6000;2.5;0.25;io;F_Vx;1000;0.10877;No;N/A;N/A;1
1;1;22;3;1000;12;1;io;F_Vx;1000;0.4652;No;N/A;N/A;1
1;1;23;3;2000;4.5;0;io;F_Vx;1000;0.16799;No;N/A;N/A;1
1;1;24;3;2000;4.5;0.35;ia;F_Vz;1000;0.17467;No;N/A;N/A;1
1;1;25;3;4000;18;0;ma;Missing;1000;0.23174;No;N/A;N/A;1
2;4;1;1;0;80;0;av;NF_Ay;3000;0.97209;No;N/A;N/A;1
2;4;2;1;0;3;0;vo;NF_Vx;3000;0.07376;No;N/A;N/A;1
2;4;3;1;0;13;0;vv;NF_Vy;3000;0.0737;No;N/A;N/A;1
2;4;5;3;0;32;0;av;NF_Ay;3000;0.70694;No;N/A;N/A;1
2;4;7;3;0;6.8;0;vo;NF_Vx;3000;0.12332;No;N/A;N/A;1
2;4;8;3;0;6.5;0;vv;NF_Vy;3000;0.07883;No;N/A;N/A;1
2;4;9;3;0;2.8;0;va;NF_Vz;3000;0.19583;No;N/A;N/A;1
2;4;12;4;0;2.6;0;vo;NF_Vx;3000;0.07257;No;N/A;N/A;1
2;4;13;4;0;1.9;0;va;NF_Vz;3000;0.22278;No;N/A;N/A;1
2;4;15;2;0;22.5;0;av;NF_Ay;3000;0.69146;No;N/A;N/A;1
2;4;17;2;0;4.8;0;vo;NF_Vx;3000;0.09712;No;N/A;N/A;1
2;4;18;2;0;7.5;0;vv;NF_Vy;3000;0.07322;No;N/A;N/A;1
2;4;19;2;0;16;0;va;NF_Vz;3000;0.19031;No;N/A;N/A;1
2;4;20;3;28000;0.75;0;iv;F_Vy;3000;0.02518;No;N/A;N/A;1
2;4;21;2;28000;2.9;0;io;F_Vx;3000;0.02712;No;N/A;N/A;1
2;4;22;2;28000;1.5;0;iv;F_Vy;3000;0.02518;No;N/A;N/A;1
2;4;23;2;28000;1.4;0;ia;F_Vz;3000;0.04432;No;N/A;N/A;1
2;4;24;2;37000;5.5;0;iv;F_Vy;3000;0.02518;No;N/A;N/A;1
2;4;25;3;3000;4.2;0;io;F_Vx;3000;0.06742;No;N/A;N/A;1
2;4;26;3;3000;4.4;0;iv;F_Vy;3000;0.02681;No;N/A;N/A;1
2;4;27;3;3000;2.15;0;ia;F_Vz;3000;0.05014;No;N/A;N/A;1
2;4;28;3;6000;1.1;0;io;F_Vx;3000;0.0241;No;N/A;N/A;1
2;4;29;3;9000;1.1;0;io;F_Vx;3000;0.01657;No;N/A;N/A;1
2;4;30;3;9000;1.35;0;iv;F_Vy;3000;0.02518;No;N/A;N/A;1
2;4;31;3;9000;0.65;0;ia;F_Vz;3000;0.04696;No;N/A;N/A;1
2;4;32;1;3000;0.55;0;io;F_Vx;3000;0.03879;No;N/A;N/A;1
2;4;33;1;3000;11;0;iv;F_Vy;3000;0.02619;No;N/A;N/A;1
2;4;34;3;18000;0.65;0;io;F_Vx;3000;0.0214;No;N/A;N/A;1
2;4;35;4;37000;1.15;0;io;F_Vx;3000;0.03298;No;N/A;N/A;1
