@relation NewRelation
@attribute Class numeric
@attribute 'Component #' numeric
@attribute Support numeric
@attribute Measure numeric
@attribute Prior_Measure numeric
@attribute Measure_Desc {F_Vx,F_Vy,F_Vz,Missing,NF_Ax,NF_Ay,NF_Az,NF_Vx,NF_Vy,NF_Vz}
@attribute RPM numeric
@data
5,2,3,150,42,NF_Ax,3000
5,12,4,120,30,NF_Ax,3000
1,5,2,165,30,NF_Ay,3000
2,5,4,22.5,27,NF_Az,1500
1,3,2,62,26,NF_Az,3000
1,6,2,170,26,NF_Az,3000
1,14,4,74,25,NF_Ax,3000
1,16,4,26,25,NF_Az,3000
2,12,2,13,24,NF_Ax,1500
2,4,2,20,24,NF_Ax,1500
2,16,3,11,23.5,NF_Ax,1500
1,14,3,42,23,NF_Ax,3000
1,12,3,9,23,NF_Ax,3000
1,6,3,46,23,NF_Ax,3000
2,0,3,19,23,NF_Ax,1500
2,12,3,22.5,23,NF_Ax,1500
2,9,4,21,22,NF_Az,1500
2,5,3,27,21,NF_Ay,1500
1,7,3,55,21,NF_Ay,1500
2,8,1,11,21,NF_Ax,1500
2,0,1,19,21,NF_Ax,1500
1,1,1,135,20,NF_Ay,3000
1,6,3,32.5,19.5,NF_Ax,3000
1,8,4,28,19,NF_Ax,3000
1,10,3,65,19,NF_Ax,3000
1,11,3,100,19,NF_Ay,3000
1,6,3,50,19,NF_Ax,1500
2,4,3,16.5,19,NF_Ax,1500
2,14,3,21,18,NF_Ax,1500
2,13,3,27,17.5,NF_Ay,1500
1,0,2,24.5,17.5,NF_Ax,3000
5,0,3,110,17.5,NF_Ax,3000
1,4,2,40,17.5,NF_Ax,3000
2,5,2,16.5,17,NF_Ay,1500
1,11,3,42,16,NF_Ay,3000
2,0,2,10,16,NF_Ax,3000
2,9,2,12,15,NF_Ay,1500
1,15,4,31,15,NF_Ay,3000
2,17,3,33,15,NF_Ay,1500
1,7,3,85,14.5,NF_Ay,3000
3,8,3,23.5,14,NF_Ax,3000
1,6,3,92,14,NF_Ax,3000
1,12,1,19,14,NF_Ax,3000
1,10,4,26,14,NF_Ax,3000
1,10,4,6,14,NF_Ax,3000
1,12,4,30,14,NF_Ax,3000
2,4,2,15,14,NF_Ax,1500
1,13,1,65,13.5,NF_Ay,3000
2,12,1,7,13.5,NF_Ax,3000
2,15,3,19,13.5,NF_Ay,1500
2,4,3,21,13,NF_Ax,1500
3,4,3,52.5,13,NF_Ax,3000
1,1,2,29,13,NF_Ay,1500
2,1,3,19.5,13,NF_Ay,1500
2,10,3,27.5,13,NF_Ax,1500
1,0,1,24,12.5,NF_Ax,3000
1,10,3,90,12.5,NF_Ax,3000
2,9,4,19,12,NF_Az,1500
2,1,2,18,12,NF_Ay,1000
1,2,2,85,12,NF_Az,3000
5,3,3,22,12,NF_Ay,3000
5,4,2,210,12,NF_Az,3000
2,5,2,33,12,NF_Ay,1500
3,13,2,11,11.5,NF_Az,3000
2,5,2,17.5,11,NF_Az,1500
2,11,3,19,11,NF_Ay,1500
2,11,3,12,11,NF_Ay,1500
3,10,4,37.5,11,NF_Ax,3000
1,0,1,7.5,11,NF_Ax,3000
1,0,1,16.5,11,NF_Ax,3000
1,10,1,15,11,NF_Ax,3000
1,2,2,21,11,NF_Ax,3000
1,1,2,100,11,NF_Ay,1000
1,0,2,27,11,NF_Ax,1500
1,10,1,8.5,11,NF_Ax,3000
1,11,1,12,11,NF_Ay,3000
2,1,3,13,11,NF_Ay,1500
2,0,3,13.5,11,NF_Ax,1500
2,6,3,12.5,11,NF_Ax,1500
2,4,2,6.5,11,NF_Ax,1000
2,17,3,11,11,NF_Ay,1500
2,6,2,23,11,NF_Az,1500
2,13,3,26,11,NF_Ay,1500
2,1,1,15,10.5,NF_Ay,1500
2,8,2,11,10.5,NF_Ax,1500
1,16,4,65,10.5,NF_Ax,3000
5,0,1,10,10.5,NF_Ax,3000
5,2,2,24.5,10.5,NF_Ax,3000
1,8,3,76,10.5,NF_Ax,3000
1,14,4,9,10.5,NF_Ax,3000
2,4,2,14,10.5,NF_Ax,1500
5,2,2,22.5,10,NF_Ax,3000
5,3,2,5,10,NF_Az,3000
1,0,2,11,10,NF_Ax,3000
2,5,2,23,10,NF_Az,1500
2,0,1,7,10,NF_Ax,3000
2,12,3,19,9.5,NF_Ax,1500
1,0,2,120,9.5,NF_Ax,1000
1,19,4,5.5,9.5,NF_Vz,3000
2,1,2,7,9.5,NF_Az,3000
2,13,1,6.5,9.5,NF_Ay,3000
2,0,1,10,9.5,NF_Ax,1500
2,13,2,13,9.5,NF_Az,1500
2,12,2,10,9.5,NF_Ax,3000
2,0,1,7,9,NF_Ax,1500
2,4,2,9,9,NF_Ax,1500
2,8,4,15.5,9,NF_Ax,1500
2,0,2,10.5,9,NF_Ax,1000
2,5,2,16,9,NF_Ay,1500
2,10,3,19,9,NF_Ax,1500
2,5,2,12,9,NF_Ay,1500
2,10,3,11.5,9,NF_Ax,1500
3,5,1,11,9,NF_Ay,3000
1,1,2,36,9,NF_Ay,3000
5,6,1,32.5,9,NF_Ax,3000
5,8,2,11,9,NF_Ax,3000
5,13,4,14.5,9,NF_Ay,3000
1,4,2,14,9,NF_Ax,3000
1,4,2,32,9,NF_Ax,3000
1,0,2,23.5,9,NF_Ax,3000
1,6,4,42,9,NF_Ax,3000
1,15,4,14.5,9,NF_Ay,1500
1,1,2,12,9,NF_Ay,3000
2,4,4,7.5,9,NF_Ax,1500
2,16,4,6,9,NF_Az,1500
2,8,4,20,9,NF_Ax,1500
3,12,2,6,8.5,NF_Ax,3000
1,12,3,14,8.5,NF_Vx,3000
2,5,3,28,8.5,NF_Ay,1500
2,12,2,13,8.5,NF_Ax,1500
2,5,2,6,8.5,NF_Ay,1000
2,1,1,9.5,8.5,NF_Ay,1500
2,10,4,16,8.5,NF_Ax,1500
2,1,2,6.5,8.5,NF_Ay,1500
2,7,3,13,8.5,NF_Ay,1500
2,17,4,6.5,8,NF_Ay,1500
2,15,4,5.5,8,NF_Ay,1500
5,5,3,24,8,NF_Vx,3000
1,17,4,11.5,8,NF_Vx,3000
1,18,4,6,8,NF_Vy,3000
2,0,3,14,8,NF_Ax,1500
2,4,4,11,8,NF_Ax,1500
1,1,3,55,7.5,NF_Az,1000
2,0,3,12,7.5,NF_Ax,1500
3,9,3,7,7.5,NF_Az,3000
1,17,4,50,7.5,NF_Ay,3000
1,6,2,35,7.5,NF_Az,3000
1,6,2,75,7.5,NF_Az,3000
1,2,2,32,7.5,NF_Az,3000
2,15,4,9.5,7.5,NF_Ay,1500
2,0,2,8.5,7.5,NF_Ax,1500
2,16,4,9,7.5,NF_Az,1500
2,16,3,9.5,7.5,NF_Ax,1500
2,11,4,85,7.5,NF_Ay,1500
2,6,3,11,7.5,NF_Ax,1500
2,4,2,13,7,NF_Ax,1500
2,4,2,9,7,NF_Ax,1500
3,0,2,9,7,NF_Ax,3000
1,33,4,3.5,7,F_Vz,3000
1,7,3,13,7,NF_Ay,3000
2,10,2,17,7,NF_Az,1500
2,11,4,15,7,NF_Ay,1500
2,1,1,8.5,7,NF_Ay,1500
2,0,1,17.5,7,NF_Ax,1500
1,17,3,11,6.8,NF_Vx,3000
1,14,3,4.2,6.8,NF_Vx,3000
1,8,3,12,6.8,NF_Vx,3000
2,1,1,6,6.5,NF_Ay,1500
2,10,2,6.5,6.5,NF_Az,1500
2,0,3,11,6.5,NF_Ax,1500
5,0,1,2.5,6.5,NF_Ax,3000
5,3,2,130,6.5,NF_Ay,3000
1,0,1,15,6.5,NF_Ax,3000
1,13,3,18,6.5,NF_Vy,3000
1,14,4,4.5,6.5,NF_Ax,1500
1,16,4,15,6.5,NF_Az,1500
2,10,4,22.5,6.5,NF_Az,1500
2,8,4,9,6.5,NF_Ax,1500
2,1,2,7.5,6.5,NF_Ay,1500
2,11,3,8.5,6.5,NF_Ay,1000
2,16,3,9,6.5,NF_Ax,1500
2,5,2,7,6.5,NF_Ay,1500
2,0,2,8.5,6.5,NF_Ax,1500
3,12,1,11,6.2,NF_Ax,3000
5,4,3,23,6,NF_Az,3000
5,22,3,20,6,F_Vx,3000
2,1,2,17,6,NF_Az,1500
2,5,2,14,6,NF_Az,1500
3,0,2,11.5,5.8,NF_Ax,3000
1,9,3,8,5.6,NF_Vy,1500
1,4,2,7,5.5,NF_Ax,1000
1,5,2,25,5.5,NF_Az,1000
2,7,3,3.5,5.5,NF_Ay,1500
2,4,4,6.5,5.5,NF_Ax,1500
2,2,2,10.5,5.5,NF_Az,1000
2,7,1,6.5,5.5,NF_Ay,1000
2,15,4,13,5.5,NF_Ay,1500
2,16,4,2.5,5.5,NF_Ax,1500
2,14,4,3.5,5.5,NF_Ax,1500
2,10,2,7,5.5,NF_Ax,1500
3,1,2,11,5.5,NF_Ay,3000
3,5,3,8.5,5.5,NF_Az,3000
3,8,1,6,5.5,NF_Ax,3000
1,2,2,42,5.5,NF_Az,1000
1,2,2,15,5.5,NF_Az,1500
2,4,3,16.5,5.5,NF_Ax,1500
2,14,1,7,5.5,NF_Ax,1500
2,15,1,7.5,5.5,NF_Ay,1500
2,1,1,10,5.5,NF_Ay,1500
2,5,4,7,5.5,NF_Az,1500
2,5,2,6.5,5.5,NF_Ay,1500
2,10,3,8.5,5.5,NF_Ax,1000
2,4,2,7,5.5,NF_Ax,1500
2,2,2,10,5.5,NF_Az,1500
2,9,4,10,5.5,NF_Az,1500
1,7,2,6.3,5.2,NF_Vx,3000
2,2,2,3.8,5.2,NF_Vx,3000
2,8,4,6.5,5.1,NF_Ax,1500
2,6,3,2.5,5,NF_Ax,1500
2,15,4,7.5,5,NF_Ay,1500
2,6,4,4,5,NF_Az,1500
2,6,1,5.5,5,NF_Ax,1000
2,6,2,9,5,NF_Az,1500
2,6,2,8.5,5,NF_Az,1500
3,1,4,7,5,NF_Az,3000
3,4,1,4.5,5,NF_Ax,3000
