@relation NewRelation
@attribute event_hour numeric
@attribute gender {F,M}
@attribute language {English,French,Spanish}
@attribute primary_use {business,personel}
@attribute registration_referring_url {www.craigslist.org,www.ebay.com,www.facebook.com,www.google.com,www.live.com,www.pintrest.com,www.twitter.com,www.yahoo.com}
@attribute flag_optin_email_marketing numeric
@attribute user_age numeric
@attribute Subscribed_to_Email numeric
@attribute Commented_on_Blog numeric
@attribute Visited_Site numeric
@attribute Signup_Newsletter numeric
@attribute Watched_Video numeric
@attribute Tweeted_Item numeric
@attribute Completed_Lead_Form numeric
@attribute Added_Item_To_Cart {0,1}
@attribute Tweeted_Blog_Post numeric
@attribute Signup_Free_Offer numeric
@data
 3,F,Spanish,personel,www.google.com,0,25,8,0,0,0,0,0,0,0,0,0
 5,F,Spanish,personel,www.yahoo.com,0,25,0,1,1,0,0,0,0,0,0,0
 4,F,English,business,www.live.com,1,26,0,0,0,2,0,0,0,0,1,0
 5,F,English,business,www.live.com,1,26,0,1,4,0,1,0,0,0,4,1
 12,F,English,business,www.live.com,1,26,0,1,0,0,1,0,0,0,0,1
 17,F,English,business,www.live.com,1,26,0,0,0,1,0,0,0,0,1,0
 17,M,English,personel,www.ebay.com,0,112,0,0,0,0,0,0,0,0,1,0
 1,F,French,personel,www.facebook.com,0,28,0,0,1,0,0,0,0,0,0,0
 12,M,French,personel,www.google.com,0,112,0,0,0,0,0,0,0,0,1,0
 15,M,French,personel,www.google.com,0,112,0,1,0,0,0,0,0,0,0,1
 3,F,English,personel,www.google.com,0,27,0,1,0,0,0,0,0,0,0,0
 1,M,French,business,www.ebay.com,1,46,0,0,0,0,0,0,0,0,0,1
 8,M,French,business,www.ebay.com,1,46,0,0,1,0,0,0,0,0,0,0
 4,M,Spanish,business,www.facebook.com,1,27,0,0,1,0,0,0,0,0,0,0
 12,M,Spanish,business,www.facebook.com,1,27,0,0,2,0,0,0,0,0,0,0
 14,M,Spanish,business,www.facebook.com,1,27,0,1,0,0,0,0,0,0,0,0
 18,M,Spanish,business,www.facebook.com,1,27,0,0,1,1,0,3,0,0,0,0
 10,F,French,personel,www.facebook.com,0,112,0,1,1,0,0,0,0,0,0,0
 15,F,French,personel,www.facebook.com,0,112,0,0,1,0,0,0,0,0,0,0
 16,F,English,personel,www.twitter.com,0,27,0,1,0,0,0,0,0,0,0,0
 4,F,Spanish,personel,www.pintrest.com,0,28,0,1,1,0,0,0,0,0,0,0
 15,F,Spanish,personel,www.pintrest.com,0,28,0,1,1,0,0,0,0,0,0,0
 17,F,French,personel,www.google.com,0,28,0,0,0,0,0,0,0,0,1,0
 1,M,French,personel,www.live.com,0,30,0,2,0,1,0,0,0,0,1,0
 2,M,French,personel,www.live.com,0,30,0,2,0,0,0,0,0,0,0,1
 3,M,French,personel,www.live.com,0,30,0,0,1,0,0,0,0,0,0,0
 18,M,French,personel,www.live.com,0,30,0,2,1,0,0,0,0,0,0,0
 17,M,English,business,www.live.com,1,112,0,0,1,0,0,0,0,0,0,0
 4,M,French,personel,www.facebook.com,0,25,1,1,0,1,0,0,1,0,1,0
 4,F,French,business,www.craigslist.org,1,112,0,0,1,0,2,0,0,0,0,0
 2,F,English,personel,www.facebook.com,0,27,0,0,2,0,0,0,0,0,0,0
 5,F,English,personel,www.facebook.com,0,27,0,0,0,3,0,4,0,0,0,0
 6,F,English,personel,www.facebook.com,0,27,0,1,0,0,0,0,0,0,0,0
 7,F,English,personel,www.facebook.com,0,27,0,0,1,0,0,0,0,0,0,0
 16,F,English,personel,www.facebook.com,0,27,0,0,1,0,0,0,0,0,0,0
 0,F,Spanish,business,www.live.com,1,27,0,0,2,1,0,0,0,0,0,0
 3,F,Spanish,business,www.live.com,1,27,0,0,0,0,2,0,0,0,0,0
 15,F,Spanish,business,www.live.com,1,27,0,0,0,0,0,0,0,0,2,0
 17,F,Spanish,business,www.live.com,1,27,0,1,0,1,0,0,0,0,0,1
 1,M,Spanish,personel,www.live.com,0,24,0,0,0,0,1,0,0,0,0,0
 0,F,French,business,www.facebook.com,1,112,0,0,0,1,0,0,0,0,1,0
 5,F,French,business,www.facebook.com,1,112,0,1,0,0,0,0,0,0,0,1
 18,F,Spanish,business,www.live.com,1,27,0,0,1,0,0,0,0,0,0,0
 4,M,French,personel,www.pintrest.com,0,36,0,1,0,0,0,0,0,0,0,0
 7,M,French,personel,www.pintrest.com,0,36,0,0,0,1,0,1,0,0,0,0
 0,F,Spanish,business,www.live.com,1,112,0,1,0,0,0,0,0,0,0,0
 6,F,Spanish,business,www.live.com,1,112,0,1,1,0,0,0,0,0,0,0
 14,F,Spanish,business,www.live.com,1,112,0,0,0,2,0,0,0,0,0,0
 0,M,French,business,www.google.com,1,112,0,0,1,0,0,0,0,0,0,0
 3,M,English,personel,www.facebook.com,0,112,0,0,0,2,0,1,0,0,0,0
 8,M,English,business,www.ebay.com,1,30,0,2,2,0,0,0,0,0,0,0
 13,M,English,business,www.ebay.com,1,30,0,1,0,2,0,2,0,0,8,1
 15,M,English,business,www.ebay.com,1,30,0,0,0,0,3,0,0,0,0,11
 17,M,English,business,www.ebay.com,1,30,0,0,8,0,0,0,0,0,0,0
 18,M,English,business,www.ebay.com,1,30,0,0,0,0,1,0,0,0,0,0
 13,F,French,personel,www.facebook.com,0,30,0,1,0,0,0,0,0,0,0,0
 17,F,French,personel,www.facebook.com,0,30,0,0,1,0,0,0,0,0,0,0
 13,F,Spanish,business,www.live.com,1,29,0,1,0,0,0,0,0,0,0,0
 17,F,Spanish,business,www.live.com,1,29,0,0,1,0,0,0,0,0,0,0
 12,F,English,personel,www.craigslist.org,0,112,0,1,1,0,0,0,0,0,0,0
