map_id,seq,field_name,Type,Length,Format,Currency,Decimal,Grouping,map_field
1,1,fname,String,100,,,,,first_name
1,2,lname,String,100,,,,,last_name
1,3,work_ph,String,100,,,,,work_phone
1,4,mobile_ph,String,100,,,,,mobile_phone
1,5,home_address1,String,100,,,,,home_address1
1,6,home_address2,String,100,,,,,home_address2
1,7,home_city,String,100,,,,,home_city
1,8,home_state,String,20,,,,,home_state
1,9,home_zip,String,100,,,,,home_zip
1,10,title,String,100,,,,,title
1,11,dept_name,String,100,,,,,dept_name
2,1,parent,String,100,,,,,parent_dept
2,2,dept,String,100,,,,,dept_name
3,1,first_name,String,100,,,,,first_name
3,2,last_name,String,100,,,,,last_name
3,3,work_phone,String,100,,,,,work_phone
3,4,mobile_phone,String,100,,,,,mobile_phone
3,5,home_address1,String,100,,,,,home_address1
3,6,home_address2,String,100,,,,,home_address2
3,7,home_city,String,100,,,,,home_city
3,8,home_state,String,20,,,,,home_state
3,9,home_zip,String,100,,,,,home_zip
3,10,title,String,100,,,,,title
3,11,dept_name,String,100,,,,,dept_name
3,12,resume,String,5000,,,,,other1
