_id,event_date,event_hour,event,e_count
3111446,2/18/2013,22,Purchase,1
3330975,2/11/2013,17,Purchase,1
4413378,1/22/2013,18,Purchase,1
4905792,2/7/2013,7,Purchase,1
7435308,1/22/2013,18,Purchase,1
9630263,1/29/2013,3,Purchase,1
14142024,2/21/2013,5,Purchase,1
18226921,1/28/2013,2,Purchase,1
18487884,2/4/2013,0,Purchase,1
22246080,1/23/2013,0,Purchase,1
24026790,1/20/2013,4,Purchase,1
24303933,2/10/2013,23,Purchase,1
28857307,2/2/2013,22,Purchase,1
32129961,1/20/2013,4,Purchase,1
37028610,1/12/2013,7,Purchase,1
38799486,2/5/2013,9,Purchase,1
40635661,3/7/2013,2,Purchase,1
42636086,1/12/2013,21,Purchase,1
45565346,1/3/2013,14,Purchase,1
45971367,1/27/2013,18,Purchase,1
47209454,1/3/2013,2,Purchase,1
47307890,1/29/2013,8,Purchase,1
48100328,3/3/2013,2,Purchase,1
48798794,2/16/2013,13,Purchase,1
52145252,1/21/2013,12,Purchase,1
53001890,1/17/2013,15,Purchase,1
56915180,1/28/2013,2,Purchase,1
59969348,2/9/2013,1,Purchase,1
60277229,2/10/2013,7,Purchase,1
60344910,1/13/2013,12,Purchase,1
66094396,2/19/2013,12,Purchase,1
67178200,1/10/2013,0,Purchase,1
73059120,2/26/2013,13,Purchase,1
73682781,2/6/2013,20,Purchase,1
74342050,1/2/2013,13,Purchase,1
74440702,1/7/2013,11,Purchase,1
74755867,2/4/2013,8,Purchase,1
75476991,1/19/2013,6,Purchase,1
76682318,1/24/2013,16,Purchase,1
83720217,1/5/2013,21,Purchase,1
83722177,1/29/2013,9,Purchase,1
85829351,1/12/2013,14,Purchase,1
85973891,2/8/2013,12,Purchase,1
86168402,2/18/2013,5,Purchase,1
87346360,1/10/2013,7,Purchase,1
87830652,2/8/2013,17,Purchase,1
94938276,2/10/2013,21,Purchase,1
95620593,2/2/2013,4,Purchase,1
99513491,1/4/2013,4,Purchase,1
103509680,1/3/2013,21,Purchase,1
104902760,1/7/2013,9,Purchase,1
109492423,1/2/2013,5,Purchase,1
110319007,1/27/2013,1,Purchase,1
110560105,1/1/2013,0,Purchase,1
113057979,2/22/2013,15,Purchase,1
113666576,1/26/2013,22,Purchase,1
118294095,3/9/2013,7,Purchase,1
118696370,2/18/2013,20,Purchase,1
119577013,1/17/2013,21,Purchase,1
134256501,1/20/2013,16,Purchase,1
134701200,1/19/2013,1,Purchase,1
136629397,2/12/2013,16,Purchase,1
140654069,3/2/2013,14,Purchase,1
144347717,2/2/2013,15,Purchase,1
150651068,1/15/2013,0,Purchase,1
152388664,1/19/2013,1,Purchase,1
153087738,2/1/2013,22,Purchase,1
168188435,1/1/2013,14,Purchase,1
178136371,1/10/2013,22,Purchase,1
186685900,1/30/2013,2,Purchase,1
199491025,1/11/2013,7,Purchase,1
209109648,1/18/2013,3,Purchase,1
225889892,3/4/2013,2,Purchase,1
228464680,2/5/2013,5,Purchase,1
251200306,1/6/2013,18,Purchase,1
305854421,2/15/2013,16,Purchase,1
312074649,1/14/2013,10,Purchase,1
318308737,1/14/2013,15,Purchase,1
1717,3/7/2013,21,Posted Product Review,1
1717,2/25/2013,21,Posted Product Review,1
15384,1/23/2013,6,Posted Product Review,1
46547,2/23/2013,21,Posted Product Review,1
46547,2/28/2013,8,Posted Product Review,1
53262,2/27/2013,6,Posted Product Review,1
53262,1/20/2013,11,Posted Product Review,1
70488,3/9/2013,1,Posted Product Review,1
82339,2/26/2013,5,Posted Product Review,1
108324,3/9/2013,19,Posted Product Review,1
112938,1/27/2013,8,Posted Product Review,1
120668,2/14/2013,21,Posted Product Review,1
171128,3/1/2013,20,Posted Product Review,1
171128,2/24/2013,15,Posted Product Review,1
176673,2/19/2013,14,Posted Product Review,1
198731,1/17/2013,22,Posted Product Review,1
225635,1/1/2013,11,Posted Product Review,1
292151,2/19/2013,12,Posted Product Review,1
307704,2/27/2013,0,Posted Product Review,1
